update,mean_train_u_ctrl,method,update_seconds,trajectories_sampled,policy_entropy,validation_mean_u_ctrl,validation_n_unique_sequences,validation_sequence_entropy,validation_unique_frac,validation_checkpoint_score,validation_meets_unique_floor
701,0.10230468750000002,RL-sBOED,0.6148257255554199,44864,3.8613064289093018,,,,,,
702,0.11917968749999999,RL-sBOED,0.6220951080322266,44928,3.8519179821014404,,,,,,
703,0.1072265625,RL-sBOED,0.6234564781188965,44992,3.8324527740478516,,,,,,
704,0.10757812500000001,RL-sBOED,0.6228702068328857,45056,3.8502471446990967,,,,,,
705,0.1156640625,RL-sBOED,0.6221368312835693,45120,3.8392341136932373,,,,,,
706,0.1079296875,RL-sBOED,0.622589111328125,45184,3.84281325340271,,,,,,
707,0.113203125,RL-sBOED,0.6235036849975586,45248,3.802238941192627,,,,,,
708,0.1142578125,RL-sBOED,0.6183485984802246,45312,3.786935567855835,,,,,,
709,0.104765625,RL-sBOED,0.6231076717376709,45376,3.8036251068115234,,,,,,
710,0.1040625,RL-sBOED,0.6214532852172852,45440,3.8050897121429443,,,,,,
711,0.10054687500000001,RL-sBOED,0.6216857433319092,45504,3.795612335205078,,,,,,
712,0.106875,RL-sBOED,0.6216626167297363,45568,3.817286252975464,,,,,,
713,0.1023046875,RL-sBOED,0.6208662986755371,45632,3.8277459144592285,,,,,,
714,0.10933593750000001,RL-sBOED,0.6212122440338135,45696,3.802926778793335,,,,,,
715,0.11812500000000001,RL-sBOED,0.6227331161499023,45760,3.8470284938812256,,,,,,
716,0.11109374999999999,RL-sBOED,0.6232481002807617,45824,3.829646348953247,,,,,,
717,0.1107421875,RL-sBOED,0.6213192939758301,45888,3.8596115112304688,,,,,,
718,0.1100390625,RL-sBOED,0.6220121383666992,45952,3.8845341205596924,,,,,,
719,0.1156640625,RL-sBOED,0.6222045421600342,46016,3.8781661987304688,,,,,,
720,0.10124999999999999,RL-sBOED,0.6231253147125244,46080,3.866192579269409,,,,,,
721,0.10511718750000001,RL-sBOED,0.6175291538238525,46144,3.8636467456817627,,,,,,
722,0.11320312499999999,RL-sBOED,0.6224002838134766,46208,3.823809862136841,,,,,,
723,0.1096875,RL-sBOED,0.6223950386047363,46272,3.8324201107025146,,,,,,
724,0.1051171875,RL-sBOED,0.6218574047088623,46336,3.8249804973602295,,,,,,
725,0.120234375,RL-sBOED,0.6218407154083252,46400,3.8077619075775146,0.10248046875000003,21,2.518883577422649,0.1640625,0.10248046875000003,0
726,0.108984375,RL-sBOED,0.6151044368743896,46464,3.792391300201416,,,,,,
727,0.101953125,RL-sBOED,0.6225144863128662,46528,3.854708194732666,,,,,,
728,0.1262109375,RL-sBOED,0.6244504451751709,46592,3.8182976245880127,,,,,,
729,0.103359375,RL-sBOED,0.6221821308135986,46656,3.8329460620880127,,,,,,
730,0.09914062500000001,RL-sBOED,0.6219689846038818,46720,3.8782460689544678,,,,,,
731,0.10265625,RL-sBOED,0.6221768856048584,46784,3.882281541824341,,,,,,
732,0.11812500000000001,RL-sBOED,0.6208751201629639,46848,3.905695676803589,,,,,,
733,0.1149609375,RL-sBOED,0.6229004859924316,46912,3.8932931423187256,,,,,,
734,0.1128515625,RL-sBOED,0.6178600788116455,46976,3.905531406402588,,,,,,
735,0.12375,RL-sBOED,0.6218349933624268,47040,3.895808458328247,,,,,,
736,0.10863281250000001,RL-sBOED,0.6230273246765137,47104,3.8839375972747803,,,,,,
737,0.10582031250000001,RL-sBOED,0.6221597194671631,47168,3.864863634109497,,,,,,
738,0.1016015625,RL-sBOED,0.6235277652740479,47232,3.846139669418335,,,,,,
739,0.10933593750000001,RL-sBOED,0.6178374290466309,47296,3.794435501098633,,,,,,
740,0.11109375,RL-sBOED,0.6221168041229248,47360,3.8044707775115967,,,,,,
741,0.1156640625,RL-sBOED,0.6244513988494873,47424,3.7899296283721924,,,,,,
