system,sequence,xi1,xi2,xi3,mean_u_ctrl,std_u_ctrl,mean_u_raw,std_u_raw,n_eval
ieee5,21 23 13,21,23,13,0.8625,0.12183492931011206,0.8618750000000001,0.1390242222600076,80.0
ieee5,20 22 2,20,22,2,0.8975000000000002,0.13599172768959147,0.9112499999999999,0.1629752665283907,80.0
ieee5,2 7 13,2,7,13,0.875,0.130862523283024,0.8768750000000001,0.14661679431429397,80.0
ieee5,14 21 24,14,21,24,0.8574999999999999,0.12427288521636569,0.8537500000000001,0.14159250509825722,80.0
ieee5,29 20 8,29,20,8,0.8474999999999999,0.13036007824483692,0.8462499999999998,0.14721901201950782,80.0
ieee5,14 2 20,14,2,20,0.85875,0.1348088925108429,0.86875,0.16247595976020573,80.0
ieee5,7 1 10,7,1,10,0.85,0.13228756555322954,0.8487500000000001,0.1485292479614705,80.0
ieee5,7 24 11,7,24,11,0.85,0.1284523257866513,0.8481249999999999,0.14543979639355933,80.0
ieee5,20 14 24,20,14,24,0.89375,0.1165587298317891,0.9081250000000001,0.14778441857990302,80.0
ieee5,21 27 6,21,27,6,0.8612500000000001,0.12398966690817426,0.8581249999999999,0.14151937809006931,80.0
ieee5,24 12 5,24,12,5,0.86625,0.13596300048174872,0.8706250000000001,0.15825093799090098,80.0
ieee5,14 26 4,14,26,4,0.8675,0.12018215341721915,0.8637499999999999,0.13738063000292286,80.0
ieee5,0 25 29,0,25,29,0.8912500000000001,0.11313017943944047,0.906875,0.14890092133697488,80.0
ieee5,28 29 17,28,29,17,0.8574999999999999,0.1330178559442303,0.85625,0.1492428809022393,80.0
ieee5,29 17 2,29,17,2,0.8787499999999999,0.1310474627758966,0.8856249999999999,0.15556223633967206,80.0
ieee5,6 15 23,6,15,23,0.8487500000000001,0.12844624361965593,0.8475000000000001,0.14553779577827883,80.0
ieee5,8 7 12,8,7,12,0.8737499999999999,0.13392511900312054,0.8768750000000001,0.1501964858943111,80.0
ieee5,18 1 10,18,1,10,0.85,0.1264911064067352,0.8481249999999999,0.14457777967239638,80.0
ieee5,4 3 22,4,3,22,0.8574999999999999,0.13207478941872292,0.85625,0.14755825120947993,80.0
ieee5,17 25 15,17,25,15,0.8925000000000001,0.1282331860323216,0.9049999999999999,0.15524174696260018,80.0
ieee5,8 18 21,8,18,21,0.8650000000000002,0.11947803145348522,0.8631250000000001,0.1377823804954755,80.0
ieee5,17 28 20,17,28,20,0.8587499999999999,0.12912566553555493,0.8574999999999999,0.14536591760106626,80.0
ieee5,25 27 23,25,27,23,0.85875,0.13009011299864415,0.8556249999999999,0.14598667533374404,80.0
