update,mean_train_u_ctrl,mean_train_control_cost,method,update_seconds,trajectories_sampled,policy_entropy,router_entropy,expert_redundancy,max_expert_usage,residual_scale,validation_mean_u_ctrl,validation_mean_mocu,validation_n_unique_sequences,validation_sequence_entropy,validation_unique_frac,validation_under_control_rate,validation_valid,validation_mean_shortfall,validation_checkpoint_score,validation_meets_unique_floor,moe_adaptivity_constraint
866,0.1574999988079071,0.1574999988079071,MoE-sBOED,0.05234503746032715,55424,3.9642863273620605,1.3858833312988281,0.017523160204291344,0.26121795177459717,0.11243031919002533,,,,,,,,,,,
867,0.15785156190395355,0.15785156190395355,MoE-sBOED,0.051842689514160156,55488,3.964991331100464,1.385921835899353,0.014192910864949226,0.26068633794784546,0.11235010623931885,,,,,,,,,,,
868,0.15539062023162842,0.15539062023162842,MoE-sBOED,0.05206704139709473,55552,3.9656550884246826,1.3859784603118896,0.010193608701229095,0.25955212116241455,0.1122518926858902,,,,,,,,,,,
869,0.1669921875,0.1669921875,MoE-sBOED,0.05154919624328613,55616,3.966053009033203,1.3860092163085938,0.007946333847939968,0.2588815689086914,0.11216052621603012,,,,,,,,,,,
870,0.15468750894069672,0.15468750894069672,MoE-sBOED,0.0518488883972168,55680,3.9663407802581787,1.3860530853271484,0.007239445112645626,0.2582450211048126,0.11208123713731766,,,,,,,,,,,
871,0.1466015726327896,0.1466015726327896,MoE-sBOED,0.05273556709289551,55744,3.966571569442749,1.3861063718795776,0.007283773738890886,0.25721830129623413,0.11201303452253342,,,,,,,,,,,
872,0.1473046839237213,0.1473046839237213,MoE-sBOED,0.05282425880432129,55808,3.9667701721191406,1.3861308097839355,0.00791516900062561,0.2565454840660095,0.11197734624147415,,,,,,,,,,,
873,0.14414063096046448,0.14414063096046448,MoE-sBOED,0.05225205421447754,55872,3.966768264770508,1.3861472606658936,0.008774851448833942,0.2565556764602661,0.11194946616888046,,,,,,,,,,,
874,0.1487109363079071,0.1487109363079071,MoE-sBOED,0.050647735595703125,55936,3.9666013717651367,1.3861196041107178,0.00945490412414074,0.25727716088294983,0.1119137853384018,,,,,,,,,,,
875,0.15468749403953552,0.15468749403953552,MoE-sBOED,0.05070066452026367,56000,3.9662017822265625,1.3860836029052734,0.010139331221580505,0.2579447627067566,0.11188185960054398,0.15064453125000002,0.11689453125,5,1.1703139273251626,0.0390625,0.140625,0,0.00544921875,1101.02314453125,0,required
876,0.1473046839237213,0.1473046839237213,MoE-sBOED,0.05016803741455078,56064,3.965956211090088,1.3860434293746948,0.010248714126646519,0.25870251655578613,0.11185043305158615,,,,,,,,,,,
877,0.15855468809604645,0.15855468809604645,MoE-sBOED,0.05018138885498047,56128,3.9654555320739746,1.3860011100769043,0.010643575340509415,0.2593556046485901,0.11184505373239517,,,,,,,,,,,
878,0.15503907203674316,0.15503907203674316,MoE-sBOED,0.052063941955566406,56192,3.964961051940918,1.3859986066818237,0.011090884916484356,0.25923141837120056,0.11184808611869812,,,,,,,,,,,
879,0.15398436784744263,0.15398436784744263,MoE-sBOED,0.05225253105163574,56256,3.9650731086730957,1.3860299587249756,0.010363471694290638,0.2586904466152191,0.11184584349393845,,,,,,,,,,,
880,0.15574219822883606,0.15574219822883606,MoE-sBOED,0.05266427993774414,56320,3.9655492305755615,1.3860833644866943,0.009295490570366383,0.257650762796402,0.11184319108724594,,,,,,,,,,,
881,0.15433594584465027,0.15433594584465027,MoE-sBOED,0.05216217041015625,56384,3.965705394744873,1.3861119747161865,0.009149348363280296,0.256903737783432,0.11183451116085052,,,,,,,,,,,
882,0.15398436784744263,0.15398436784744263,MoE-sBOED,0.05273795127868652,56448,3.9657111167907715,1.3861372470855713,0.009104041382670403,0.25619542598724365,0.11182217299938202,,,,,,,,,,,
883,0.16207031905651093,0.16207031905651093,MoE-sBOED,0.05303311347961426,56512,3.9657418727874756,1.3861613273620605,0.009103273041546345,0.2553670406341553,0.11181360483169556,,,,,,,,,,,
884,0.14695312082767487,0.14695312082767487,MoE-sBOED,0.05337786674499512,56576,3.9652633666992188,1.386173963546753,0.010112270712852478,0.25444120168685913,0.11183274537324905,,,,,,,,,,,
885,0.1487109363079071,0.1487109363079071,MoE-sBOED,0.05226397514343262,56640,3.964141368865967,1.3861653804779053,0.01230256725102663,0.25408491492271423,0.11186540871858597,,,,,,,,,,,
886,0.16207033395767212,0.16207033395767212,MoE-sBOED,0.050638675689697266,56704,3.9629616737365723,1.3861522674560547,0.01440961379557848,0.2537228465080261,0.11187833547592163,,,,,,,,,,,
887,0.16066406667232513,0.16066406667232513,MoE-sBOED,0.05213594436645508,56768,3.9622020721435547,1.3861421346664429,0.01578029990196228,0.25356006622314453,0.11188456416130066,,,,,,,,,,,
888,0.15433594584465027,0.15433594584465027,MoE-sBOED,0.05174088478088379,56832,3.960723876953125,1.386134147644043,0.01856284774839878,0.2538994252681732,0.11190905421972275,,,,,,,,,,,
889,0.1501171886920929,0.1501171886920929,MoE-sBOED,0.05194377899169922,56896,3.958890438079834,1.3861231803894043,0.02141723595559597,0.25470322370529175,0.11194644123315811,,,,,,,,,,,
890,0.15644532442092896,0.15644532442092896,MoE-sBOED,0.05181002616882324,56960,3.96186900138855,1.386120080947876,0.0223839171230793,0.2553595304489136,0.11196364462375641,,,,,,,,,,,
891,0.15292969346046448,0.15292969346046448,MoE-sBOED,0.05219459533691406,57024,3.961545944213867,1.3861198425292969,0.022183580324053764,0.2558080554008484,0.1119721308350563,,,,,,,,,,,
892,0.15292969346046448,0.15292969346046448,MoE-sBOED,0.051689863204956055,57088,3.961104154586792,1.3861240148544312,0.021762745454907417,0.255877822637558,0.11199534684419632,,,,,,,,,,,
893,0.15855468809604645,0.15855468809604645,MoE-sBOED,0.05192446708679199,57152,3.962355136871338,1.386122465133667,0.019982492551207542,0.2555009424686432,0.11199816316366196,,,,,,,,,,,
894,0.14906251430511475,0.14906251430511475,MoE-sBOED,0.05250835418701172,57216,3.9623560905456543,1.3861054182052612,0.01931527815759182,0.255937397480011,0.11199416220188141,,,,,,,,,,,
895,0.1487109363079071,0.1487109363079071,MoE-sBOED,0.05175352096557617,57280,3.9617228507995605,1.3860739469528198,0.02018064633011818,0.2566888928413391,0.11201471090316772,,,,,,,,,,,
896,0.14589843153953552,0.14589843153953552,MoE-sBOED,0.05175948143005371,57344,3.9610393047332764,1.386031150817871,0.02101927623152733,0.2576851546764374,0.11204300820827484,,,,,,,,,,,
