system,history_id,history_step,previous_actions,previous_observations,candidate_bus,candidate_amplitude,expected_continuous_objective,expected_snapped_objective,is_joint_optimal,is_bus_optimal,is_amplitude_optimal_given_bus,bus_objective_gap,history_source
ieee9,1,1,0,4.45404456,2,0.15,0.9175000000000002,0.9775,0,0,0,0.015000000000000124,objective_adaptive_value/first_history_results.csv
ieee9,1,1,0,4.45404456,3,0.15,0.9025000000000001,0.9624999999999999,0,1,0,0.0,objective_adaptive_value/first_history_results.csv
ieee9,1,1,0,4.45404456,4,0.15,0.9275000000000002,0.9875,0,0,0,0.025000000000000133,objective_adaptive_value/first_history_results.csv
ieee9,1,1,0,4.45404456,5,0.15,0.9237500000000001,0.9837499999999999,0,0,0,0.015000000000000124,objective_adaptive_value/first_history_results.csv
ieee9,1,1,0,4.45404456,6,0.15,0.9512500000000002,1.01125,0,0,0,0.046250000000000124,objective_adaptive_value/first_history_results.csv
ieee9,1,1,0,4.45404456,7,0.15,0.9250000000000002,0.985,0,0,0,0.022500000000000075,objective_adaptive_value/first_history_results.csv
ieee9,1,1,0,4.45404456,8,0.15,0.9287500000000002,0.98875,0,0,0,0.02375000000000005,objective_adaptive_value/first_history_results.csv
ieee9,1,1,0,4.45404456,0,0.2,0.9275000000000002,0.9875,0,0,0,0.022500000000000075,objective_adaptive_value/first_history_results.csv
ieee9,1,1,0,4.45404456,1,0.2,0.9112500000000001,0.97125,0,0,0,0.006250000000000089,objective_adaptive_value/first_history_results.csv
ieee9,1,1,0,4.45404456,2,0.2,0.9175000000000002,0.9775,0,0,0,0.015000000000000124,objective_adaptive_value/first_history_results.csv
ieee9,1,1,0,4.45404456,3,0.2,0.9025000000000001,0.9624999999999999,0,1,0,0.0,objective_adaptive_value/first_history_results.csv
ieee9,1,1,0,4.45404456,4,0.2,0.9275000000000002,0.9875,0,0,0,0.025000000000000133,objective_adaptive_value/first_history_results.csv
ieee9,1,1,0,4.45404456,5,0.2,0.9262500000000002,0.9862500000000001,0,0,0,0.015000000000000124,objective_adaptive_value/first_history_results.csv
ieee9,1,1,0,4.45404456,6,0.2,0.9525000000000001,1.0125,0,0,0,0.046250000000000124,objective_adaptive_value/first_history_results.csv
ieee9,1,1,0,4.45404456,7,0.2,0.9262500000000001,0.98625,0,0,0,0.022500000000000075,objective_adaptive_value/first_history_results.csv
ieee9,1,1,0,4.45404456,8,0.2,0.9287500000000002,0.98875,0,0,0,0.02375000000000005,objective_adaptive_value/first_history_results.csv
ieee9,1,1,0,4.45404456,0,0.3,0.9512500000000002,1.01125,0,0,0,0.022500000000000075,objective_adaptive_value/first_history_results.csv
ieee9,1,1,0,4.45404456,1,0.3,0.9087500000000002,0.96875,0,0,1,0.006250000000000089,objective_adaptive_value/first_history_results.csv
ieee9,1,1,0,4.45404456,2,0.3,0.9175000000000002,0.9775,0,0,0,0.015000000000000124,objective_adaptive_value/first_history_results.csv
ieee9,1,1,0,4.45404456,3,0.3,0.9025000000000001,0.9624999999999999,0,1,0,0.0,objective_adaptive_value/first_history_results.csv
ieee9,1,1,0,4.45404456,4,0.3,0.9275000000000002,0.9875,0,0,0,0.025000000000000133,objective_adaptive_value/first_history_results.csv
ieee9,1,1,0,4.45404456,5,0.3,0.9175000000000002,0.9775,0,0,1,0.015000000000000124,objective_adaptive_value/first_history_results.csv
ieee9,1,1,0,4.45404456,6,0.3,0.9575000000000002,1.0175,0,0,0,0.046250000000000124,objective_adaptive_value/first_history_results.csv
ieee9,1,1,0,4.45404456,7,0.3,0.9250000000000002,0.985,0,0,0,0.022500000000000075,objective_adaptive_value/first_history_results.csv
ieee9,1,1,0,4.45404456,8,0.3,0.9287500000000002,0.98875,0,0,0,0.02375000000000005,objective_adaptive_value/first_history_results.csv
ieee9,2,1,0,4.70567893,1,0.05,0.9450000000000002,1.005,0,0,0,0.03374999999999995,objective_adaptive_value/first_history_results.csv
ieee9,2,1,0,4.70567893,2,0.05,0.9225000000000001,0.9824999999999999,0,0,0,0.013749999999999929,objective_adaptive_value/first_history_results.csv
ieee9,2,1,0,4.70567893,3,0.05,0.9075000000000002,0.9675,1,1,1,0.0,objective_adaptive_value/first_history_results.csv
ieee9,2,1,0,4.70567893,4,0.05,0.9275000000000002,0.9875,0,0,0,0.018749999999999933,objective_adaptive_value/first_history_results.csv
