rollout_id,theta_test_id,u_myopic,u_fixed,diff_m_minus_f,seq_myopic,seq_fixed,safe_myopic,safe_fixed
382,14,0.8,0.7,0.10000000000000009,1 4,10 11,True,True
383,15,0.7,0.6,0.09999999999999998,1 2,10 11,True,True
384,0,0.7,0.5,0.19999999999999996,26 3,10 11,True,True
385,1,0.45,0.6,-0.14999999999999997,1 0,10 11,True,True
386,2,0.7,0.7,0.0,1 0,10 11,True,True
387,3,1.0,1.0,0.0,1 0,10 11,True,True
388,4,0.8,0.8,0.0,1 2,10 11,True,True
389,5,0.7,0.7,0.0,1 0,10 11,True,True
390,6,1.0,1.0,0.0,1 0,10 11,True,True
391,7,1.0,1.0,0.0,1 0,10 11,True,True
392,8,0.5,0.7,-0.19999999999999996,1 2,10 11,True,True
393,9,0.7,0.7,0.0,1 0,10 11,True,True
394,10,0.6,0.6,0.0,1 22,10 11,True,True
395,11,0.6,0.6,0.0,1 2,10 11,True,True
396,12,1.0,1.0,0.0,1 0,10 11,True,True
397,13,0.8,0.9,-0.09999999999999998,1 14,10 11,True,True
398,14,0.7,0.7,0.0,11 2,10 11,True,True
399,15,0.6,0.6,0.0,21 25,10 11,True,True
400,0,0.6,0.5,0.09999999999999998,16 17,10 11,True,True
401,1,0.8,0.6,0.20000000000000007,6 4,10 11,True,True
402,2,0.7,0.7,0.0,1 0,10 11,True,True
403,3,1.0,1.0,0.0,1 0,10 11,True,True
404,4,0.8,0.8,0.0,1 0,10 11,True,True
405,5,0.7,0.7,0.0,1 15,10 11,True,True
406,6,1.0,1.0,0.0,16 0,10 11,True,True
407,7,1.0,1.0,0.0,1 0,10 11,True,True
408,8,0.5,0.5,0.0,16 2,10 11,True,True
409,9,0.7,0.7,0.0,1 0,10 11,True,True
410,10,0.6,0.5,0.09999999999999998,1 12,10 11,True,True
411,11,0.6,0.6,0.0,1 27,10 11,True,True
412,12,1.0,1.0,0.0,1 0,10 11,True,True
413,13,0.9,0.9,0.0,21 0,10 11,True,True
414,14,0.7,0.7,0.0,1 0,10 11,True,True
415,15,0.6,0.6,0.0,16 25,10 11,True,True
416,0,0.6,0.7,-0.09999999999999998,1 22,10 11,True,True
417,1,0.6,0.6,0.0,1 25,10 11,True,True
418,2,0.7,0.7,0.0,1 0,10 11,True,True
419,3,0.9,1.0,-0.09999999999999998,1 0,10 11,True,True
420,4,0.8,0.9,-0.09999999999999998,16 0,10 11,True,True
421,5,0.7,0.7,0.0,1 0,10 11,True,True
422,6,1.0,1.0,0.0,1 0,10 11,True,True
423,7,1.0,1.0,0.0,1 0,10 11,True,True
424,8,0.45,0.5,-0.04999999999999999,1 3,10 11,True,True
425,9,0.7,0.7,0.0,1 3,10 11,True,True
426,10,0.7,0.6,0.09999999999999998,1 10,10 11,True,True
427,11,0.6,0.6,0.0,1 17,10 11,True,True
428,12,1.0,1.0,0.0,16 0,10 11,True,True
429,13,0.8,0.9,-0.09999999999999998,11 14,10 11,True,True
430,14,0.7,0.7,0.0,21 0,10 11,True,True
431,15,0.6,0.6,0.0,1 3,10 11,True,True
432,0,0.7,0.5,0.19999999999999996,1 5,10 11,True,True
433,1,0.6,0.6,0.0,1 25,10 11,True,True
434,2,0.7,0.7,0.0,1 0,10 11,True,True
435,3,1.0,1.0,0.0,1 0,10 11,True,True
436,4,0.9,0.8,0.09999999999999998,1 3,10 11,True,True
437,5,0.7,0.7,0.0,1 0,10 11,True,True
438,6,1.0,1.0,0.0,1 0,10 11,True,True
439,7,1.0,1.0,0.0,21 0,10 11,True,True
440,8,0.7,0.6,0.09999999999999998,1 15,10 11,True,True
441,9,0.7,0.7,0.0,1 3,10 11,True,True
442,10,0.6,0.7,-0.09999999999999998,6 2,10 11,True,True
443,11,0.6,0.6,0.0,1 2,10 11,True,True
444,12,1.0,1.0,0.0,1 0,10 11,True,True
445,13,0.8,0.9,-0.09999999999999998,1 4,10 11,True,True
446,14,0.7,0.7,0.0,1 3,10 11,True,True
