update,environment,trajectories_per_batch,transitions,cumulative_trajectories,advantage_mean,advantage_std,value_loss,policy_loss,entropy,approximate_kl,clip_fraction,actor_gradient_norm,value_gradient_norm,mean_training_terminal_cost,entropy_t1,entropy_t2,validation_mean_u_ctrl,validation_std_u_ctrl,validation_median_u_ctrl,validation_q10_u_ctrl,validation_q90_u_ctrl,validation_safety,validation_dominant_sequence,validation_dominant_sequence_fraction,validation_unique_sequences,validation_sequence_entropy,validation_entropy_t1,validation_entropy_t2,best_validation_so_far
53,C0,48,96,2544,-0.03231023676693437,0.13614532419251144,0.009253456257283688,-0.006518220063298941,0.35407283902168274,0.0006682980456389487,0.0,0.2995675504207611,0.06940195709466934,0.84375,0.4457947909832001,0.24528498947620392,,,,,,,,,,,,,
54,C0,48,96,2592,0.027606750912964367,0.13295593009912102,0.009054727852344513,-0.0010827953228726983,0.29733729362487793,0.005133169237524271,0.0,0.10888990759849548,0.061768922954797745,0.84375,0.3883509933948517,0.19522427022457123,,,,,,,,,,,,,
55,C0,48,96,2640,-0.019993835667769088,0.1411072917297403,0.009497727267444134,-0.015595902688801289,0.2793393135070801,0.005672970321029425,0.0416666679084301,0.24162355065345764,0.05067707225680351,0.8250000000000001,0.31170400977134705,0.23068906366825104,,,,,,,,,,,,,
56,C0,48,96,2688,0.010190658532083058,0.12832758117796544,0.00833460409194231,-0.0031034250278025866,0.2788607180118561,0.004840556066483259,0.03125,0.5633518099784851,0.034751202911138535,0.84375,0.3876313865184784,0.2369023710489273,,,,,,,,,,,,,
57,C0,48,96,2736,0.013491503044962905,0.12659786658106786,0.007863818667829037,-0.005353736225515604,0.27652865648269653,0.001025360426865518,0.0520833320915699,0.17483681440353394,0.03515582159161568,0.8249999999999998,0.28112998604774475,0.26258257031440735,,,,,,,,,,,,,
58,C0,48,96,2784,-0.030796763040125342,0.12857982697135062,0.008500460535287857,-0.008469685912132263,0.30395737290382385,0.01807352714240551,0.02083333395421505,0.33749955892562866,0.07902240008115768,0.84375,0.31321799755096436,0.3195643723011017,,,,,,,,,,,,,
59,C0,48,96,2832,0.021519332284728705,0.14160352952883798,0.009786476381123066,-0.0025370169896632433,0.3454541265964508,0.011081877164542675,0.03125,0.2768405079841614,0.06019526347517967,0.8312500000000002,0.36823680996894836,0.35109975934028625,,,,,,,,,,,,,
60,C0,48,96,2880,-0.013575316697359063,0.13111448720354202,0.008360199630260468,-0.007041804492473602,0.38057950139045715,0.012366387993097305,0.010416666977107525,0.3035779595375061,0.047124192118644714,0.8562500000000001,0.42422518134117126,0.33947935700416565,0.83125,0.14882351124738324,0.7,0.7,1.0,1.0,"[14, 2]",0.5555555555555556,2,0.6869615765973234,0.425210177898407,0.3313563797208998,0.83125
61,C0,48,96,2928,-0.020068675190210324,0.13241833764835867,0.008928027004003525,-0.0021596227306872606,0.37934860587120056,0.015135313384234905,0.03125,0.18057997524738312,0.04414141923189163,0.86875,0.48319149017333984,0.2742016613483429,,,,,,,,,,,,,
62,C0,48,96,2976,0.07774479599048696,0.12488438825143361,0.009125197306275368,-0.012012168765068054,0.39245620369911194,0.017747847363352776,0.0729166641831398,0.20634306967258453,0.16781403124332428,0.8125,0.5604142546653748,0.2249244600534439,,,,,,,,,,,,,
