update,mean_train_u_ctrl,mean_train_control_cost,method,update_seconds,trajectories_sampled,policy_entropy,router_entropy,expert_redundancy,max_expert_usage,expert_residual_scale,validation_mean_u_ctrl,validation_mean_mocu,validation_n_unique_sequences,validation_sequence_entropy,validation_unique_frac,validation_under_control_rate,validation_valid,validation_mean_shortfall,validation_checkpoint_score,validation_meets_unique_floor,moe_adaptivity_constraint
371,0.17484374344348907,0.17484374344348907,MoE-sBOED,0.057350873947143555,23744,2.663423538208008,1.3844760656356812,0.002636122051626444,0.25586840510368347,0.11989675462245941,,,,,,,,,,,
372,0.17343750596046448,0.17343750596046448,MoE-sBOED,0.05750918388366699,23808,2.6495957374572754,1.384321689605713,0.002312195021659136,0.25838780403137207,0.11991452425718307,,,,,,,,,,,
373,0.15937501192092896,0.15937501192092896,MoE-sBOED,0.0563046932220459,23872,2.623446464538574,1.3841415643692017,0.001838679425418377,0.2625947892665863,0.119889996945858,,,,,,,,,,,
374,0.19640624523162842,0.19640624523162842,MoE-sBOED,0.057381629943847656,23936,2.765108585357666,1.3839678764343262,0.0010700805578380823,0.2634049654006958,0.11989575624465942,,,,,,,,,,,
375,0.1743749976158142,0.1743749976158142,MoE-sBOED,0.057286977767944336,24000,2.800018072128296,1.3840272426605225,0.0010809976374730468,0.2619594633579254,0.11987970024347305,0.186328125,0.157578125,16,2.3871755083767217,0.125,0.1015625,0,0.007734375,1000.673203125,0,diagnostic_only
376,0.17765624821186066,0.17765624821186066,MoE-sBOED,0.05546426773071289,24064,2.79915714263916,1.3844420909881592,0.001453440054319799,0.25707051157951355,0.11982236057519913,,,,,,,,,,,
377,0.17812500894069672,0.17812500894069672,MoE-sBOED,0.05629110336303711,24128,2.7008559703826904,1.3845795392990112,0.0017369647976011038,0.258125901222229,0.11974537372589111,,,,,,,,,,,
378,0.16640625894069672,0.16640625894069672,MoE-sBOED,0.05731463432312012,24192,2.7159829139709473,1.3845481872558594,0.0016933763399720192,0.2617443799972534,0.11965297907590866,,,,,,,,,,,
379,0.17765626311302185,0.17765626311302185,MoE-sBOED,0.05636096000671387,24256,2.794255256652832,1.3842706680297852,0.0015409837942570448,0.26466041803359985,0.11955875903367996,,,,,,,,,,,
380,0.1795312464237213,0.1795312464237213,MoE-sBOED,0.0582427978515625,24320,2.6741456985473633,1.3841097354888916,0.0010622679255902767,0.2667819857597351,0.11953673511743546,,,,,,,,,,,
