method,theta_test_id,rollout_id,sequence,y_obs,u_ctrl,u_req_true,excess_control,safe_total,runtime_s,exact_tie_count,near_tie_count,average_co_tied_actions
advanced_random_init_dad,3,51,"[23, 28, 24]","[6.941989793320927, 7.341305697913068, 4.877304446325461]",0.8400000000000001,0.5,0.3400000000000001,True,0.0037607088685035705,0,0,nan
advanced_random_init_dad,4,52,"[23, 28, 24]","[3.0851628003568408, 3.1121990271961093, 2.3216686129434634]",0.96,0.4,0.5599999999999999,True,0.0031551389023661614,0,0,nan
advanced_random_init_dad,5,53,"[23, 28, 24]","[6.823396135665154, 7.248742555930852, 2.6487134702542354]",0.72,0.25,0.47,True,0.003303287364542484,0,0,nan
advanced_random_init_dad,6,54,"[23, 28, 24]","[3.563099456432878, 3.772671007040572, 2.9748490590757832]",0.9400000000000001,0.6,0.3400000000000001,True,0.0031773183960467576,0,0,nan
advanced_random_init_dad,7,55,"[23, 28, 24]","[5.079330492602741, 5.1565369612884995, 6.475130294481383]",1.0,0.6,0.4,True,0.003188853804022074,0,0,nan
advanced_random_init_dad,8,56,"[23, 28, 24]","[6.225618063465097, 6.552139368118269, 2.5801752867195793]",0.6599999999999999,0.1,0.5599999999999999,True,0.003189406171441078,0,0,nan
advanced_random_init_dad,9,57,"[23, 28, 24]","[7.6402806902729505, 7.78145191568399, 2.8311965396903243]",0.8,0.35,0.45000000000000007,True,0.0031575736589729785,0,0,nan
advanced_random_init_dad,10,58,"[23, 28, 24]","[3.5901885486786305, 3.752166037970848, 5.005373845290126]",0.8800000000000001,0.15,0.7300000000000001,True,0.003182329377159476,0,0,nan
advanced_random_init_dad,11,59,"[23, 28, 24]","[3.2859358537394225, 3.511694783671204, 3.5268500620853356]",0.74,0.1,0.64,True,0.003197423554956913,0,0,nan
advanced_random_init_dad,12,60,"[23, 28, 24]","[3.8636571227143537, 4.013572343926476, 2.610366911743168]",0.8800000000000001,0.6,0.28000000000000014,True,0.0031996183563023804,0,0,nan
advanced_random_init_dad,13,61,"[23, 28, 24]","[3.547459779925016, 3.7392042633756466, 2.3314459203858404]",0.8400000000000001,0.45,0.39000000000000007,True,0.0031794568058103323,0,0,nan
advanced_random_init_dad,14,62,"[23, 28, 24]","[4.992559566343802, 5.04905246549899, 3.2478917336470685]",0.9,0.3,0.6000000000000001,True,0.0031699374783784153,0,0,nan
advanced_random_init_dad,15,63,"[23, 28, 24]","[3.602295579310112, 3.5568772812064466, 2.3472979884156517]",0.8,0.2,0.6000000000000001,True,0.0031855827663093807,0,0,nan
advanced_random_init_dad,0,64,"[23, 28, 24]","[3.271920883642891, 3.306482605441269, 4.318123214532405]",0.8400000000000001,0.1,0.7400000000000001,True,0.0031877394299954175,0,0,nan
advanced_random_init_dad,1,65,"[23, 28, 24]","[4.681740075901728, 4.9062408398249095, 7.2180849676859165]",0.8400000000000001,0.1,0.7400000000000001,True,0.0031821010168641807,0,0,nan
advanced_random_init_dad,2,66,"[23, 28, 24]","[3.761397129082833, 3.9117249676298274, 4.646123796039531]",0.8800000000000001,0.3,0.5800000000000001,True,0.003166238171979785,0,0,nan
advanced_random_init_dad,3,67,"[23, 28, 24]","[7.047349988977781, 7.216337246691775, 4.740567965481869]",0.8400000000000001,0.5,0.3400000000000001,True,0.0031637868378311396,0,0,nan
advanced_random_init_dad,4,68,"[23, 28, 24]","[2.9397006099164007, 3.3094056581938034, 2.3061800263402525]",0.96,0.4,0.5599999999999999,True,0.003170316992327571,0,0,nan
advanced_random_init_dad,5,69,"[23, 28, 24]","[6.806139129381733, 7.164262698919232, 2.507000463744379]",0.72,0.25,0.47,True,0.0031442870385944843,0,0,nan
advanced_random_init_dad,6,70,"[23, 28, 24]","[3.418292131147516, 3.6663719452722883, 3.0619572521332743]",1.0,0.6,0.4,True,0.0031631321646273134,0,0,nan
advanced_random_init_dad,7,71,"[23, 28, 24]","[4.893226804384521, 5.2504291072090306, 6.455869330865168]",1.0,0.6,0.4,True,0.003530830005183816,0,0,nan
advanced_random_init_dad,8,72,"[23, 28, 24]","[6.38586713609798, 6.562635212054575, 2.7347411357615283]",0.6599999999999999,0.1,0.5599999999999999,True,0.003922299202531576,0,0,nan
advanced_random_init_dad,9,73,"[23, 28, 24]","[7.486524116173545, 7.878182690293356, 2.8262783447214948]",0.8,0.35,0.45000000000000007,True,0.00390839921310544,0,0,nan
advanced_random_init_dad,10,74,"[23, 28, 24]","[3.537815745638032, 3.8240644115697258, 4.990726007739744]",0.8800000000000001,0.15,0.7300000000000001,True,0.0038442762568593027,0,0,nan
advanced_random_init_dad,11,75,"[23, 28, 24]","[3.3148737157938792, 3.6535226570012815, 3.592452483251773]",0.8200000000000001,0.1,0.7200000000000001,True,0.003802183968946338,0,0,nan
advanced_random_init_dad,12,76,"[23, 28, 24]","[3.872133697306715, 3.8571641381234785, 2.6681899100866193]",0.8800000000000001,0.6,0.28000000000000014,True,0.0038031476084142922,0,0,nan
advanced_random_init_dad,13,77,"[23, 28, 24]","[3.3674435432157823, 3.6043550558656743, 2.3511612606571775]",0.8400000000000001,0.45,0.39000000000000007,True,0.004370218794792891,0,0,nan
advanced_random_init_dad,14,78,"[23, 28, 24]","[4.922428680215954, 5.196255326106151, 3.3769423050344733]",0.9,0.3,0.6000000000000001,True,0.004704665765166283,0,0,nan
